Variant,Spearman_rs,CBB_95%_CI
All,0.836,0.736 - 0.915
Alpha,0.911,0.686 - 0.981
Epsilon,0.839,0.612 - 0.950
Beta,0.704,0.278 - 0.865
Gamma,0.772,0.407 - 0.933
Delta,0.81,0.491 - 0.926
Omicron,0.966,0.789 - 1.000
